Process Data Points,Process Averages,Process LCLs,Process UCLs
1,1,0,7.0465382139929655
0,1,0,7.0465382139929655
1,1,0,7.0465382139929655
0,1,0,7.0465382139929655
3,1,0,7.0465382139929655
11,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
1,1,0,7.0465382139929655
1,1,0,7.0465382139929655
7,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
3,1,0,7.0465382139929655
4,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
3,1,0,7.0465382139929655
2,1,0,7.0465382139929655
1,1,0,7.0465382139929655
2,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
1,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
5,1,0,7.0465382139929655
1,1,0,7.0465382139929655
1,1,0,7.0465382139929655
1,1,0,7.0465382139929655
1,1,0,7.0465382139929655
1,1,0,7.0465382139929655
2,1,0,7.0465382139929655
3,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
0,1,0,7.0465382139929655
